Side,Qty,Entry Date,Entry Price,Exit Date,Exit Price,Exit Reason,PNL $,PNL %
LONG,12,2025-01-08,6069.25,2025-01-10,5970.0,EXIT_SIGNAL,-1191.0,-0.016352926638382007
LONG,12,2025-01-17,6141.25,2025-02-03,6171.75,EXIT_SIGNAL,366.0,0.004966415631996743
LONG,12,2025-02-13,6249.0,2025-02-24,6117.75,EXIT_SIGNAL,-1575.0,-0.02100336053768603
LONG,12,2025-03-19,5781.25,2025-03-28,5650.0,EXIT_SIGNAL,-1575.0,-0.022702702702702703
LONG,12,2025-04-17,5379.25,2025-05-21,5911.25,EXIT_SIGNAL,6384.0,0.09889854533624576
